R1,R2,R5,Fault_Rogers
0.188976378,2.53125,3200,ARCING
0.174796748,2.523809524,2100,ARCING
0.166684027,1.428540819,3.414878049,ARCING
0.135712347,2.4995001,1.389166667,ARCING
0.19047619,2.5003125,3200,ARCING
0.174089069,2.619047619,21,ARCING
0.429129288,1.983821734,18.56090652,ARCING
0.470443854,1.160758929,5.090909091,ARCING
0.196850394,2.640594059,3030,ARCING
0.178861789,2.5,2200,ARCING
0.429069031,1.983308413,18.56713881,ARCING
0.471655329,1.156113828,5.230232558,ARCING
0.188976378,2.547169811,3180,ARCING
0.174796748,2.572815534,2060,ARCING
0.429174583,1.983971913,18.55807365,ARCING
0.469387755,1.154867257,5.255813953,ARCING
0.166684027,1.428540819,3.414878049,ARCING
0.135712347,2.42248062,1.433333333,ARCING
0.188976378,2.547169811,3180,ARCING
0.174796748,2.572815534,2060,ARCING
0.429174583,1.983971913,18.55807365,ARCING
0.469387755,1.154867257,5.255813953,ARCING
0.166684027,1.428540819,3.414878049,ARCING
0.135712347,2.42248062,1.433333333,ARCING
0.19047619,2.666111296,3001,ARCING
0.174089069,2.619047619,10.5,ARCING
0.429129288,1.983821734,18.71946516,ARCING
0.470443854,1.160758929,5.209302326,ARCING
0.212598425,2.5003125,3200,ARCING
0.178861789,2.545454545,110,ARCING
0.429069031,1.981782674,18.56713881,ARCING
0.473922902,1.164962205,5.230232558,ARCING
0.204724409,2.454545455,3300,ARCING
0.182926829,2.572815534,2060,ARCING
0.429069031,1.983971913,18.55807365,ARCING
0.469387755,1.154867257,5.255813953,ARCING
0.256538462,2.384615385,1.181818182,ARCING
0.327901639,3.319018405,4.939393939,ARCING
0.132090762,2.969957082,8.62962963,ARCING
0.133333333,2.881556222,8.462307692,ARCING
0.105368421,3.545454545,1100,ARCING
0.238550459,1.562091503,9.5625,ARCING
0.22252625,1.736986301,10.42857143,ARCING
0.201399718,1.454541698,12.4743299,ARCING
0.303311258,1.138638614,12.625,ARCING
0.20226813,2.490131579,16,ARCING
0.256538462,2.153846154,1.181818182,ARCING
0.327901639,3.360248447,4.878787879,ARCING
0.132519248,2.969957082,8.62962963,ARCING
3.32E+40,2.002,2.5,ARCING
0.000185185,0.0025,400,Normal
0.004224193,1.983669109,18.56090652,Normal
0.255319149,0.00125,800,Normal
0.045396825,1.165178571,5.209302326,Normal
0.010987925,2.37254902,0.662337662,Normal
4300,1.08,25,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.4,Normal
1.741228235,1.064966276,9.266447368,Normal
0.069993001,0.000333222,3001,Normal
0.091263018,1.786162286,35.1381768,Normal
0.923077515,0.540552958,0.586386688,Normal
0.000181818,0.0025,400,Normal
0.260869565,0.00125,4,Normal
0.114035088,2.37254902,0.656652361,Normal
0.914893617,1.0668,18.75,Normal
1.063091483,1.097787307,10.41071429,Normal
1.699150425,1.29787234,11.75,Normal
1.743429287,1.064966276,9.236065574,Normal
0.425925926,0.37037037,270,Normal
0.234042553,0.0999001,1001,Normal
0.115257958,2.341935484,0.670995671,Normal
0.916666667,1.035058215,25.76666667,Normal
1.056603774,1.097787307,10.22807018,Normal
1.571428571,1.276808511,9.4,Normal
1.742478219,1.064788533,9.271052632,Normal
0.000185185,0.002,500,Normal
0.255319149,0.001111111,900,Normal
0.114160263,2.37254902,0.662337662,Normal
0.895833333,1.08,25,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.215686275,Normal
1.741228235,1.064966276,9.236065574,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.251968504,Normal
1.741228235,1.064966276,9.266447368,Normal
0.069993001,0.023325558,3001,Normal
0.091263018,1.786162286,35.1381768,Normal
0.923077515,0.542958298,0.585458861,Normal
0.000185185,0.002,500,Normal
0.255319149,0.001111111,900,Normal
0.114160263,2.37254902,0.662337662,Normal
0.895833333,1.08,25,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.215686275,Normal
1.741228235,1.064966276,9.236065574,Normal
1.059748428,1.09948542,10.22807018,Normal
1.619047619,1.319148936,9.251968504,Normal
1.741228235,1.064966276,9.266447368,Normal
0.069993001,0.023325558,3001,Normal
0.091263018,1.786162286,35.1381768,Normal
0.923077515,0.542958298,0.585458861,Normal
0.000181818,0.0025,4.444444444,Normal
0.217608696,0.00125,4,Normal
0.114035088,2.341935484,0.665236052,Normal
0.851276596,1.142836738,10.00142857,Normal
1.063091483,1.102915952,10.41071429,Normal
1.699150425,1.378219611,15.26206897,Normal
1.743429287,1.064607739,9.38968701,Normal
0.407407407,0.37037037,270,Normal
0.234042553,0.08991009,1001,Normal
0.115257958,2.35483871,0.670995671,Normal
0.916666667,1.025769231,26,Normal
1.056603774,1.097787307,10.22807018,Normal
1.5,1.250208333,9.6,Normal
1.742478219,1.064788533,9.180456026,Normal
0.000185185,0.00125,800,Normal
0.25,0.001111111,900,Normal
0.114160263,2.37254902,0.662337662,Normal
0.895833333,1.0668,25,Normal
1.059748428,1.09948542,10.4293381,Normal
1.545454545,1.319148936,9.215686275,Normal
0.348953488,0.828571429,3.496503497,Normal
1.147058824,0.224943764,4.445555556,Normal
0.444506166,0.644444444,2.647058824,Normal
0.114285714,0.177777778,6.428571429,Normal
0.353058824,0.857428571,3.181818182,Normal
1.181818182,0.199950012,3.997002997,Normal
0.337209302,0.833611111,3.596403596,Normal
1.176764706,0.270540541,4.111111111,Normal
0.348953488,0.807799443,3.586413586,Normal
1.147058824,0.224943764,3.997002997,Normal
0.348953488,0.828571429,3.496503497,Normal
1.147058824,0.224943764,4.445555556,Normal
0.444506166,0.644444444,2.647058824,Normal
0.114285714,0.177777778,5.625,Normal
0.707008236,1.02808973,10.17148571,Normal
1.624593448,0.668421925,11.76473684,Normal
0.348953488,0.807799443,3.586413586,Normal
1.147058824,0.224943764,3.997002997,Normal
0.348953488,0.828571429,3.496503497,Normal
1.147058824,0.224943764,4.445555556,Normal
0.444506166,0.644444444,2.647058824,Normal
0.114285714,0.177777778,5.625,Normal
0.707008236,1.02808973,10.17148571,Normal
1.624593448,0.668421925,11.76473684,Normal
0.114285714,0.177777778,6.428571429,Normal
0.353058824,0.857428571,3.535353535,Normal
0.337209302,0.833611111,3.272727273,Normal
1.176764706,0.291891892,4.111111111,Normal
1.1875,0.028985507,0.425925926,Normal
0.331229298,0.001666667,0.214285714,Normal
2,0.0025,1.333333333,Normal
0.77,0.000769231,0.928571429,Normal
0.972222222,0.0025,0.068965517,Normal
0.333377775,0.002,0.185185185,Normal
1,0.00019996,0.505151515,Normal
1.266666667,0.034782609,0.428571429,Normal
0.329192547,0.001666667,0.222222222,Normal
4,0.0025,2,Normal
0.834166667,0.000769231,0.866666667,Normal
1.32,0.2,0.03030303,Normal
26.75,0.2,0.047619048,Normal
0.945945946,0.0025,0.070175439,Normal
1.103448276,0.333333333,0.048387097,Normal
1.250625,0.041666667,0.444444444,Normal
0.324979689,0.001265823,0.282142857,Normal
1.5,0.003225806,1.033333333,Normal
0.846153846,0.084033613,0.85,Normal
1.333333333,0.014285714,0.010769231,Normal
0.944444444,0.001666667,0.103448276,Normal
1.1875,0.028985507,0.425925926,Normal
0.331229298,0.001666667,0.214285714,Normal
2,0.0025,1.302931596,Normal
0.77,0.000769231,0.863213811,Normal
0.972222222,0.002444988,0.070517241,Normal
2,0.0025,2,Normal
0.77,0.005384615,0.928571429,Normal
0.972222222,0.003333333,0.051724138,Normal
0.333377775,0.002,0.185185185,Normal
1,0.00019996,0.505151515,Normal
0.945945946,0.003333333,0.052631579,Normal
1.1875,0.028985507,0.425925926,Normal
0.331229298,0.001666667,0.214285714,Normal
2,0.0025,1.302931596,Normal
0.77,0.000769231,0.863213811,Normal
0.972222222,0.002444988,0.070517241,Normal
2,0.0025,2,Normal
0.77,0.005384615,0.928571429,Normal
0.972222222,0.003333333,0.051724138,Normal
0.333377775,0.002,0.185185185,Normal
1,0.00019996,0.505151515,Normal
1.266666667,0.043478261,0.428571429,Normal
0.329192547,0.0025,0.166666667,Normal
0.834166667,0.000769231,0.764705882,Normal
1.32,0.210526316,0.028787879,Normal
26.75,0.333333333,0.028571429,Normal
1.137931034,0.333333333,0.048387097,Normal
1.3125,0.041666667,0.447204969,Normal
0.312542966,0.001111111,0.321428571,Normal
0.5,0.003333333,0.428571429,Normal
0.846153846,0.076923077,0.928571429,Normal
1.333333333,0.014285714,0.010769231,Normal
15.42857143,0.071428571,0.039622642,Normal
0.944444444,0.001666667,0.099983336,Normal
1.1875,0.027101449,0.425925926,Normal
0.31547619,0.001666667,0.214285714,Normal
0.975,0.05,1.302931596,Normal
3.833333333,0.001428571,1.75,Normal
2.333333333,0.003333333,1,Normal
17.3030303,1.79E-06,3.235225956,Normal
6.5,0.054054054,0.840909091,Normal
17.5025,0.00304878,2.68852459,Normal
0.991776316,0.179991,1,Normal
1.818636364,0.166666667,0.166666667,Normal
0.979381443,6.10E-05,3.727272727,Normal
7.222222222,0.001428571,1,Normal
0.928571429,0.003333333,0.130434783,Normal
0.296875,0.000121951,7.454545455,Normal
5.4,0.125,2,Normal
1.25125,0.5,0.222222222,Normal
2.499812523,0.000166639,1.538717949,Normal
0.250187453,0.000142837,4.375625,Normal
2.857428571,0.000166639,3.158421053,Normal
26.19387755,0.075601375,0.162116992,Normal
0.333444426,7.69E-05,21.66833333,Normal
4.007996002,0.000145773,2.744,Normal
0.884965831,0.001631321,9.190404798,Normal
3.410123555,6.76E-05,1.973333333,Normal
1.014492754,0.000124984,2.5003125,Normal
1.764660902,0.517249703,12.88911111,Normal
1.777691368,0.484864095,6.000181818,Normal
4.6,0.001428571,1.4,Normal
17.37750533,1.79E-06,3.237101449,Normal
13,0.027027027,0.822222222,Normal
14.002,0.008536585,2.732877854,Normal
0.993410214,0.179991,0.995074627,Normal
0.989583333,6.10E-05,3.644444444,Normal
0.962962963,0.003333333,0.136363636,Normal
0.292307692,0.012195122,16.4,Normal
3.666666667,0.001111111,2.25,Normal
2.5,0.003333333,1,Normal
17.2987013,1.79E-06,3.23626883,Normal
6,0.028089888,0.809090909,Normal
17.25,0.012077295,2.714754098,Normal
0.993421053,0.174825175,1.000949953,Normal
1.772727273,0.5,0.166666667,Normal
0.989690722,6.10E-05,3.727272727,Normal
0.964285714,0.002040816,0.213043478,Normal
0.31265625,0.00011274,8.063636364,Normal
3.833333333,0.001408451,1.775,Normal
2.333333333,0.002941176,1.133333333,Normal
17.3030303,1.79E-06,3.235979143,Normal
6.5,0.054054054,0.840909091,Normal
17.5025,0.00304878,2.68852459,Normal
0.991776316,0.179991,1,Normal
1.818636364,0.142857143,0.194444444,Normal
0.979381443,6.10E-05,3.565217391,Normal
7.222222222,0.00125,1.142857143,Normal
0.928571429,0.002702703,0.160869565,Normal
0.296875,0.000120482,7.545454545,Normal
5.4,0.2375,2,Normal
1.25125,321,0.222222222,Normal
1.818636364,0.166666667,0.166666667,Normal
0.979381443,6.10E-05,3.727272727,Normal
7.222222222,0.001428571,1,Normal
0.928571429,0.003333333,0.130434783,Normal
0.296875,0.000121951,7.454545455,Normal
5.4,0.125,1.6,Normal
1.25125,0.495049505,0.224444444,Normal
2.499812523,0.000163666,1.566666667,Normal
0.250187453,0.000140449,4.45,Normal
2.857428571,0.00149975,3.158421053,Normal
26.19387755,0.075601375,0.162116992,Normal
0.333444426,0.006153373,21.66833333,Normal
4.007996002,0.000145773,2.766129032,Normal
50.71729958,0.000454545,1.047619048,Normal
0.884965831,0.002718869,9.190404798,Normal
3.410123555,6.76E-05,1.897435897,Normal
1.014492754,0.000124984,2.5003125,Normal
1.764660902,0.517249703,12.88911111,Normal
1.777691368,0.484864095,6.000181818,Normal
4.6,0.071428571,1.4,Normal
7.279991727,1.05E-07,1.326114824,Normal
2.714151857,0.005755354,2.673044749,Normal
4.1999872,0.000444444,2.818367811,Normal
2.349966251,0.029267936,3.904623589,Normal
0.081814463,0.1,0.035460993,Normal
0.096030236,0.964452799,10.40824312,Normal
0.375539568,0.831210191,6.977777778,Normal
0.320665083,0.384615385,13,Normal
0.282122905,0.583815029,11.53333333,Normal
1.027396885,0.576926331,64.96801599,Normal
0.107296137,0.198019802,0.063121055,Normal
0.105932203,0.11988012,0.060301205,Normal
0.102678571,0.001351351,0.064912281,Normal
0.104162327,0.091743119,0.072661823,Normal
0.09495549,1.59375,3200,Normal
0.102564103,0.092592593,0.066666667,Normal
0.09787234,0.090909091,0.066666667,Normal
0.106666667,0.142857143,0.060869565,Normal
0.108786611,0.166666667,0.080536913,Normal
0.097633136,1.503067485,32.6,Normal
0.106837607,0.061538462,0.080246914,Normal
0.106382979,0.113636364,0.053333333,Normal
0.102222222,0.054054054,0.064347826,Normal
0.10460251,0.069724771,0.073154362,Normal
0.094674556,1.5628125,32,Normal
0.094674556,1.571875,32,Normal
0.104343289,0.08991009,0.076412214,Normal
1.306163265,0.13986014,0.055303867,Normal
0.081814463,0.1,0.035460993,Normal
0.096030236,0.964452799,10.40824312,Normal
0.375539568,0.831210191,6.977777778,Normal
0.320665083,0.384615385,13,Normal
0.282122905,0.583815029,11.53333333,Normal
1.027396885,0.578303244,64.96801599,Normal
0.106837607,0.061538462,0.080246914,Normal
0.106382979,0.113636364,0.053333333,Normal
0.102222222,0.054054054,0.064347826,Normal
0.10460251,0.069724771,0.073154362,Normal
0.094674556,1.5628125,32,Normal
0.094674556,1.571875,32,Normal
0.104343289,0.08991009,0.076412214,Normal
1.306163265,0.13986014,0.055303867,Normal
0.081814463,0.1,0.035460993,Normal
0.096030236,0.964452799,10.40824312,Normal
0.375539568,0.831210191,6.977777778,Normal
0.320665083,0.384615385,13,Normal
0.282122905,0.583815029,11.53333333,Normal
1.027396885,0.578303244,64.96801599,Normal
0.096030236,0.964452799,10.40824312,Normal
0.375539568,0.831210191,6.977777778,Normal
0.320665083,0.384615385,13,Normal
0.282122905,0.583815029,11.53333333,Normal
1.027396885,0.576926331,64.96801599,Normal
0.107296137,0.297029703,0.063121055,Normal
0.105932203,0.11988012,0.061790123,Normal
0.102678571,0.001111111,0.078947368,Normal
0.104162327,0.083333333,0.079994667,Normal
0.09495549,1.699433522,3001,Normal
0.103896104,0.092592593,0.066666667,Normal
0.09787234,0.091407678,0.06630303,Normal
0.106666667,0.142857143,0.060869565,Normal
0.108786611,0.164166667,0.080536913,Normal
0.097633136,1.503067485,46.57142857,Normal
0.106837607,0.061538462,0.080246914,Normal
0.106382979,0.090909091,0.053333333,Normal
0.102222222,0.054054054,0.064969271,Normal
0.10460251,0.090909091,0.073825503,Normal
0.094674556,1.5628125,22.85714286,Normal
1.181818182,0.181818182,4.395604396,OH
1.375,0.005,0.030769231,OH
21.4,0.002,0.047169811,OH
1.06631123,0.003333333,0.047619048,OH
21.6,0.002380952,0.039622642,OH
1.032989004,0.004761905,0.033333333,OH
1.375,0.003703704,0.041538462,OH
21.4,0.001960784,0.048113208,OH
1.06631123,0.003333333,0.046153846,OH
1.375,0.005,0.030769231,OH
21.4,0.002,0.047169811,OH
1.06631123,0.003333333,0.047619048,OH
1.375,0.003703704,0.041538462,OH
21.4,0.001960784,0.048113208,OH
1.06631123,0.003333333,0.046153846,OH
1.375,0.005,0.030769231,OH
21.4,0.002,0.047169811,OH
1.06631123,0.003333333,0.047619048,OH
4,0.0025,0.8,OH
1.032989004,0.003333333,0.047619048,OH
3.585858586,0.000820345,8.833333333,OH
7.736532933,4.03E-06,7.607392638,OH
1.142857143,0.000102041,4.260869565,OH
2.076923077,0.011805474,4.848518519,OH
1.670673077,1.15E-05,11.71621622,OH
5800,0.03649635,12.45454545,OH
6700,0.031997867,12.50083333,OH
12.42982456,4.77E-06,7.081081081,OH
2.027027027,0.002,0.03968254,OH
5.745762712,0.00255102,9.333333333,OH
1.877927368,1.78E-05,0.421171171,OH
2.050841521,0.009198102,7.925168924,OH
1.249984376,0.055261704,4.221864237,OH
1.666629632,2.50E-05,5.797246377,OH
1.318848552,0.070472314,9.327672328,OH
3.51509434,7.29E-05,6.238636364,OH
50.5021097,0.00049975,0.952857143,OH
2.005420054,0.009392265,4.763157895,OH
1.208905992,0.08315565,6.7,OH
1.556598089,0.019064748,5.346153846,OH
1.307845084,0.009078987,4.72047619,OH
1.745039435,0.055438596,8.382352941,OH
8.908759124,0.00061287,5.152631579,OH
2.164173228,0.13,8.555555556,OH
1.888839509,0.053944154,123.5882353,OH
1.235294118,0.144827586,14.48551449,OH
2,0.003333333,0.75,OH
3.578629032,0.000410172,8.865454545,OH
7.641975309,4.03E-06,7.6308,OH
1.1994003,0.000102041,4.454545455,OH
2.081027668,0.011111034,4.864898649,OH
1.674698795,1.15E-05,11.56,OH
5800,0.037956204,13.68631369,OH
6700,0.033331111,13.63727273,OH
12.32173913,0.00014313,7.081081081,OH
2.083333333,0.002,0.04,OH
5.64905849,0.00255102,9.56097561,OH
1.876561352,0.000534759,0.420855214,OH
1.905238095,0.001666667,0.171428571,OH
2.049695088,0.009080178,7.925168924,OH
8.125,0.001428571,0.875,OH
3.583838384,0.000821018,8.826086957,OH
7.749156355,4.03E-06,7.607392638,OH
1.095238095,0.00010101,4.304347826,OH
2.078895464,0.010380623,4.865319865,OH
1.673076923,1.46E-05,9.283783784,OH
6001,0.029069767,12.50909091,OH
6600,0.039997334,12.50083333,OH
12.42105263,0.000476417,7.091216216,OH
2.054054054,0.002,0.03968254,OH
5.762881356,2.56E-05,9.3,OH
1.878662657,0.001782531,0.421171171,OH
2.05140084,0.009078904,7.926281063,OH
7.333333333,0.001612903,0.885714286,OH
3.585858586,0.000803536,9.018115942,OH
7.736532933,4.02E-06,7.622392638,OH
1.142857143,0.00010101,4.304347826,OH
2.076923077,0.011789182,4.855218855,OH
1.670673077,1.15E-05,11.72162162,OH
5800,0.03649635,12.45454545,OH
6700,0.031997867,12.50083333,OH
12.42982456,4.77E-06,7.081081081,OH
2.027027027,0.002,0.0390625,OH
5.745762712,0.00255102,9.11627907,OH
1.877927368,1.78E-05,0.422672673,OH
2.050841521,0.009198102,7.925168924,OH
12.42982456,4.29E-05,7.081081081,OH
2.027027027,0.002,0.039370079,OH
5.745762712,0.00255102,9.158878505,OH
1.877927368,1.78E-05,0.421171171,OH
2.050841521,0.009198102,7.925168924,OH
1.249984376,0.055261704,4.189746417,OH
1.666629632,2.50E-05,5.797246377,OH
1.318848552,0.070472314,9.327672328,OH
3.51509434,7.29E-05,6.238636364,OH
2.005420054,0.009392265,4.763157895,OH
1.208905992,0.08315565,6.7,OH
1.556598089,0.019064748,5.346153846,OH
1.307845084,0.0089991,4.762380952,OH
1.745039435,0.055438596,8.382352941,OH
8.908759124,0.00061287,5.152631579,OH
2.164173228,0.13,8.555555556,OH
1.888839509,0.053944154,123.5882353,OH
1.235294118,0.144827586,14.48551449,OH
2.301165786,0.004721023,4.6599756,OH
1.565063348,0.042373422,12.55310955,OH
3.330919623,0.031491539,6.053545151,OH
12.70854167,0.000999001,0.345172414,OH
498.335,0.002569412,0.86948954,OH
2.076923077,0.011789182,4.855218855,OH
1.670673077,1.15E-05,11.72162162,OH
5800,0.03649635,12.45454545,OH
6700,0.031997867,12.50083333,OH
12.42982456,4.77E-06,7.081081081,OH
2.027027027,0.002,0.0390625,OH
5.745762712,0.00255102,9.11627907,OH
1.877927368,1.78E-05,0.422672673,OH
2.050841521,0.009198102,7.925168924,OH
12.42982456,4.29E-05,7.081081081,OH
2.027027027,0.002,0.039370079,OH
5.745762712,0.00255102,9.158878505,OH
1.877927368,1.78E-05,0.421171171,OH
2.050841521,0.009198102,7.925168924,OH
1.249984376,0.055261704,4.189746417,OH
1.666629632,2.50E-05,5.797246377,OH
1.318848552,0.070472314,9.327672328,OH
3.51509434,7.29E-05,6.238636364,OH
2.005420054,0.009392265,4.763157895,OH
1.208905992,0.08315565,6.7,OH
1.556598089,0.019064748,5.346153846,OH
1.307845084,0.0089991,4.762380952,OH
1.745039435,0.055438596,8.382352941,OH
8.908759124,0.00061287,5.152631579,OH
2.164173228,0.13,8.555555556,OH
1.888839509,0.053944154,123.5882353,OH
1.235294118,0.144827586,14.48551449,OH
2.301165786,0.004721023,4.6599756,OH
1.565063348,0.042373422,12.64277398,OH
1.318848552,0.070472314,9.327672328,OH
3.51509434,7.29E-05,6.238636364,OH
50.5021097,0.00049975,0.952857143,OH
2.005420054,0.009392265,4.763157895,OH
1.208905992,0.08315565,6.7,OH
1.556598089,0.019064748,5.346153846,OH
1.307845084,0.009078987,4.72047619,OH
1.745039435,0.055438596,8.382352941,OH
8.908759124,0.00061287,5.152631579,OH
2.164173228,0.13,8.555555556,OH
1.888839509,0.053944154,123.5882353,OH
1.235294118,0.144827586,14.48551449,OH
